	username	filename	domain
0	2013010436	2013010436.tsv	0
1	2013010439	2013010439.tsv	0
2	2013010441	2013010441.tsv	0
3	2013010452	2013010452.tsv	0
4	2013010452	2013010452-2.tsv	0
5	2014010440	2014010440.tsv	0
6	2014010444-1	2014010444-1.tsv	0
7	2014010452	2014010452.tsv	0
8	2014012462	2014012462.tsv	2
9	2014030054	2014030054.tsv	1
10	2014030075	2014030075.tsv	1
11	2014030076	2014030076.tsv	1
12	2014030077	2014030077.tsv	1
13	2014080124	2014080124.tsv	2
14	2015010433	2015010433.tsv	0
15	2015012338	2015012338.tsv	1
16	2015012867	2015012867.tsv	2
17	2015010416	2015010416.tsv	0
18	2014080129	2014080129.tsv	2
19	2015012385	2015012385.tsv	1
20	2015012843	2015012843.tsv	2
21	2015012843	2015012843-1.tsv	2
22	2013010415	2013010415.tsv	2
23	2015012395	2015012395.tsv	1
24	2016012873	2016012873.tsv	2
25	2015012880	2015012880.tsv	2
26	2015012851	2015012851.tsv	2
27	2013010444	2013010444.tsv	0
28	2015012386	2015012386.tsv	1
29	2015012392	2015012392.tsv	1
